Ten_quan,Mon_an,Dia_chi,Co_so,Toa_do,Thoi_gian_mo_cua,Price,meal_type,cuisine
Gum Fastfood,Món âu,245/1 Nguyễn Trãi,A,"10.764772790669818, 106.68770947778167",10h-21h30,5400000,full meal,western
Mì quảng O Hè,Mì quảng,"Cuối hẻm 315 Lê Văn Sỹ, phường 13",A,"10.786060000131926, 106.67858792390373",06:30 - 12:30,50000,full meal,vietnamese
Bánh mì Hồng,Bánh mì ba chỉ muối,"311 Nguyễn Tri Phương,",B,"10.76278923317551, 106.668245884127",17h30-24h,23000,fast food,vietnamese
Tré trộn Bà Đào,Tré trộn,"85 Rạch Bung Binh, Phường 9",A,"10.783471719463936, 106.68106480431088",09:00 - 22:00,50000,snack,vietnamese
Cơm tấm Cô Giang,Cơm tấm,"27 Cô Giang, Cầu Ông Lãnh",A,"10.765252361777225, 106.69636228359242",16-22h,40000,full meal,vietnamese
Nem lụi Cô Đào,Nem lụi cuốn,Hẻm 209 Lê Văn Sỹ,A,"10.786628260600315, 106.68054887732397",12:30 - 19:00,65000,full meal,vietnamese
Cơm gà xối mỡ ngon,Cơm gà,"702 Trường Sa, Phường 14",A,"10.791293553815917, 106.68171276992987",8h-18h,40000,full meal,vietnamese
Hủ tiếu Sườn sụn,Hủ tiếu,Hẻm 618 CMT8 (Đối diện CV Lê Thị Riêng),B,"10.787777966917075, 106.666570420334",17:00 - 22:00,50000,full meal,vietnamese
Học Lạc Dimsum,Dimsum,"38B Học Lạc, P.14",B,"10.752445177330063, 106.65538534479089",6h-12h | 15h-21h,45000,full meal,vietnamese
Mì quảng chuẩn vị miền Nam,Mì quảng bánh canh,"Hẻm 85 Trần Quang Diệu, P.13",A,"10.785225970903403, 106.67853027288577",06:00 - 12:00,55000,full meal,vietnamese
Miến gà trộn Đại Học Kiến Trúc,Miến trộn,"196 Pasteur, Vo Thi Sau",A,"10.782617919943313, 106.69450949137108",6h-12h,25000,full meal,vietnamese
Bò chảo Tân Định,Bò chảo,181 Đinh Tiên Hoàng,A,"10.791545912427635, 106.69619289129619",06:30 - 22:00,50000,full meal,vietnamese
Bún bò Ngọc Nhân,Bún bò,102 Ngô Thị Thu Minh,B,"10.79765153604219, 106.662518193134",07:30 - 13:00 | 16:30 - 21:00,60000,full meal,vietnamese
Lẩu bò 150 (Không gian cafe đẹp),Lẩu bò,"150 Phan Xích Long, Phú nhuận","A, H","10.7976855503638, 106.69199192020676",16h-23h,200000,full meal,vietnamese
Bánh canh cua Cầu Calmette,Bánh canh cua,"19 Calmette, Phường Nguyễn Thái Bình, Quận 1 ",A,"10.766548433147662, 106.70019106999563",11h - 17h,43000,full meal,vietnamese
Bánh canh của Cô Tư,Banh canh cua,"45 Bạch Vân, P.5, Quận 5",B,"10.751708844742936, 106.67561653554824",14h-18h,100000,full meal,vietnamese
Bánh mì thịt nướng đông khách,Bánh mì,"247 Hoàng Sa, Tân định",A,"10.795435082536848, 106.6863556066182",6h30-14h,30000,full meal,vietnamese
Núp Coffee & Tea,Cà phê trân châu,"45 Dương Đình Nghệ, P8, Q11
906 Trường Sa, P13, Q3
20 Tân Hoà Đông, P14, Q6
320 Bà Hạt, P9, Q10",B,"10.76223004788518, 106.65653435729021",08:00 - 22:00,60000,snack,drinks
Chickita - Gà nướng lửa hồng,Gà nướng,"82 Hồ Tùng Mậu, P. Bến Nghé,  Quận 1",A,"10.774465032754891, 106.70369775302065",10:30 - 20:45,650000,full meal,western
Ramen Danbo,Mì ramen,8a/7b1 Thái Văn Lung,A,"10.779957722324399, 106.70484372796514",8h-22h,85000,full meal,japanese
Xủi cảo Hà Tôn Quyền,Xủi Cảo,"162 Hà Tôn Quyền, Q11",A,"10.75807486562621, 106.65332136040982",15h-0h,100000,full meal,vietnamese
Mì Quảng Trộn Bắp Giò Cô Yến,Mì quảng,"736/31 Cách Mạng Tháng 8, Phường 5, Quận Tân Bình, Phường 05, Quận Tân Bình, Hồ Chí Minh",B,"10.789539735469072, 106.66340856425761","6-10h30; 14h30-18h30 (Thứ 6 nghỉ)
",40000,full meal,vietnamese
Lẩu Sa Tế Uyên Ương,Lẩu,"213 Trần Tuấn khải, P.7, Q.5",B,"10.75479603361158, 106.67261303554818",18h-23h,250000,full meal,vietnamese
3Ngon plus,Thịt nướng,"70 Đồng Nai, P.15, Q.10",B,"10.779978519347475, 106.66269781481111",6h-13h,17000,full meal,vietnamese
Bún xì dầu,Bún xì dầu,"01 Quách Văn Tuấn, p.12, Tân Bình",B,"10.789539735469072, 106.66338710658667",9h-20h,40000,full meal,vietnamese
Xôi Làng Nghề Quận 1,Xôi,"11E Nguyễn Thị Minh Khai, Q1",A,"10.786295980303079, 106.70131763546306",6h-2h sáng,30000,fast food,vietnamese
"Cơm Bình Nga
",Cơm chiên,"349 nguyễn công trứ, Quận 1",A,"10.766041169872826, 106.69834973546486","3h30 Ngã tư nguyễn công trứ - Yersin
5h 349 nguyễn công trứ, Quận 1
",30000,full meal,vietnamese
Bún bò hẻm Tô Hiến Thành,Bún bò,"273/1B Tô Hiến Thành Quận 10
",B,"10.778579873829939, 106.66659197843127",5h - 11h tỗi,50000,full meal,vietnamese
Bánh mì bơ Campuchia,Bánh mì,"175 Cống Quỳnh
",A,"10.766543429511682, 106.68900018520408",5.000đ - 15.000đ,15000,fast food,vietnamese
